Valor;Titulo;Quilometragem;Cambio;Combustivel;Localizacao
R$ 34.900;KA sedan 1.0 se 2017;41.000;km;Flex;São Paulo, Várzea de Baixo
R$ 27.900;Kia Picanto 1.0 EX 12V Flex 2014;51.000;km;Flex;São Paulo, Chácara Belenzinho
R$ 25.990;Fiat Fiorino 2011;90.000;km;Flex;Santo André, Parque das Nações
R$ 44.900;FIAT ARGO 2019/2019 1.0 FIREFLY FLEX DRIVE MANUAL;51.613;km;Flex;Mogi das Cruzes, Vila Lavínia
R$ 44.160;FORD KA 2019/2019 1.0 TI-VCT FLEX SE MANUAL;40.008;km;Flex;Mogi das Cruzes, Vila Lavínia
R$ 43.800;LOGAN 2019/2020 1.0 12V SCE FLEX EXPRESSION MANUAL;43.494;km;Flex;Mogi das Cruzes, Vila Lavínia
R$ 29.900;Logan Expression 1.0 12v Flex 2017/18 - Completo - Quitado;106.000;km;Flex;São Paulo, Jardim Itapema
R$ 10.900;Palio edx completo;131;km;Gasolina;Santo André, Vila Humaitá
R$ 24.000;Jeep Willis 73 cj5;55.000;km;Gasolina;Franco da Rocha, Jardim Progresso
R$ 46.990;ECOSPORT 2015/2015 2.0 SE 16V FLEX 4P POWERSHIFT;63.025;km;Flex;São Bernardo do Campo, Rudge Ramos
R$ 62.500;Renault master 2011 com bau;250.000;km;Diesel;São Paulo, Jardim Japão
R$ 31.990;KOMBI 2011/2012 1.4 MI STD LOTAÇÃO 8V FLEX 3P MANUAL;91.084;km;Flex;São Bernardo do Campo, Rudge Ramos
R$ 129.990;Land Rover Range Rover Sport 3.0 SE 4x4 V6 24v Diesel;86.000;km;Diesel;São Paulo, Vila Constança
R$ 17.900;Fox 2008 1.0 completo;120.000;km;Flex;São Paulo, Vila Guilherme
R$ 51.900;Volkswagem Voyage 1.6 2019 Automático;10.000;km;Flex;São Paulo, Casa Verde Alta
R$ 21.770;Hoogar scapade 1.6 ;160.000;km;Flex;São Bernardo do Campo, Centro
R$ 27.000;Vendas e trocas;132;km;Flex;Diadema, Serraria
R$ 33.900;Nissan Versa SL 1.6 Manual 2014;57.000;km;Flex;São Paulo, Instituto de Previdência
R$ 10.900;Uno 1.0 2009 FIRE / Muito econômico;190.000;km;Flex;Jundiaí, Vila Cristo Redentor
R$ 48.900;Polo Msi 2018;29.850;km;Flex;São Paulo, Jardim Guanhembu
R$ 129.890;VOLKSWAGEN PASSAT 2.0 16V TSI BLUEMOTION GASOLINA HIGHLINE 4P DSG;48.375;km;Gasolina;Mogi das Cruzes, Centro
R$ 116.900;Compass Longitude Flex 2020;35.000;km;Flex;São Paulo, Imirim
R$ 14.300;C3 GLX 1.4/8V Flex Completo;0;km;Flex;Guarulhos, Jardim Bom Clima
R$ 25.900;FUSION 2006/2007 2.3 SEL 16V GASOLINA 4P AUTOMÁTICO;136.000;km;Gasolina;São Paulo, Jardim Independência
R$ 64.990;Nissan Kicks 1.6 16v flex s 4p xtronic;31.000;km;Flex;São Caetano do Sul, Nova Gerty
R$ 3.000;Vendo Corsa Wind 97;0;km;Gasolina;Arujá, Mirante do Arujá
R$ 19.890;LOGAN 1.0;69.000;km;Flex;Suzano, Vila Amorim
R$ 26.900;Fiesta Sedã 68.000 mil km 1.6 completo 2014;68.000;km;Flex;Guarulhos, Jardim Tranqüilidade
R$ 26.900;Peugeot 207 Hatch Xr 1.4 Completo Ar E Direção 25.000km 2013;25.000;km;Flex;São Paulo, Vila Leopoldina
R$ 46.999;Duster 2015 Tech Road 4x4 Impecavel;102.000;km;Flex;São Bernardo do Campo, Centro
R$ 48.900;Jac T40 1.5 Manual Teto Envelopado Garantia De Fabrica 2018;29.900;km;Flex;São Paulo, Vila Leopoldina
R$ 16.990;Corsa Hatch Maxx 1.0 flex 2006;130.000;km;Flex;São Paulo, Artur Alvim
R$ 52.900;FOCUS SE Plus 1.6 FLEX MANUAL 50.000 KM;50.000;km;Flex;Santo André, Vila Alto de Santo André
R$ 7.000;Olx;200.000;km;Automático;São Paulo, Jardim Souza
R$ 92.000;Honda hrv touring 2018/18 Única dona, com apenas 12.000km originais;12.000;km;Flex;São Paulo, Parque Boturussu
R$ 18.990;Mitsubishi Pajero Tr4 2.0 4x4 16v 131cv;132.000;km;Gasolina;São Paulo, Santo Amaro
R$ 6.500;Pegeout 206 ;0;km;km;Osasco, Santa Maria
R$ 23.900; Peugeot 207 Passion XS 1.6 Flex 2010 ;46.000;km;Flex;São Paulo, Instituto de Previdência
R$ 70.500;Nissan Kicks 1.6 16v Flexstart Sv 4p Xtronic 17/18;31.000;km;Flex;São Paulo, Vila Paulistana
R$ 21.800;Vw Fox 11;65.400;km;Flex;Mauá, Jardim Canadá
R$ 46.900;FORD KA + 2019/2019 1.0 TI-VCT FLEX SE MANUAL;26.000;km;Flex;São Paulo, Pirituba
R$ 59.900;Peugeot 3008 2016 1.6 griffe thp 16v gasolina 4p automÁtico;93.000;km;Flex;Osasco, km 18
R$ 151.990;Hyundai Tucson 1.6 16v T-gdi Gls;0;km;Gasolina;São Paulo, Vila Gomes Cardim
R$ 39.900;Hyundai Hb20s 1.6 comfort plus 16v flex 4p automático;85.000;km;Flex;São Paulo, Jardim Independência
R$ 20.990;Renault Sandero 1.0 Expression Ano 2010;89.000;km;Flex;São Paulo, Penha de França
R$ 87.200;Land Rover DISCOVERY 4 SE 3.0 DIESEL 4x4 Branca 2010;134.000;km;Diesel;São Paulo, Vila Buarque
R$ 9.300;gol g3 power flex sem detalhes 2003 conservado;96.000;km;Flex;São Paulo, Vila Olímpia
R$ 21.000;Vectra elegance 2007 2.0 Flex;95.000;km;Flex;Cotia, Jardim Caiapiá
R$ 9.000;Peugeot 206 ano 2008;127.000;km;Flex;São Paulo, Colônia (Zona Sul)
R$ 25.500;Ford Fiesta sedan 2014 novo!!;72.000;km;Flex;São Paulo, Chácara Seis de Outubro
R$ 22.000;Subaru Impreza 2.0 16V 160HP AUT.;106.500;km;Gasolina;São Paulo, Vila Matilde
R$ 139.990;S10 ltz 4x4 2.5 flex automática;2.864;km;Flex;São Paulo, Casa Verde
R$ 45.990;Chevrolet Onix 1.0 Joy SPE/4;0;km;Flex;São Paulo, Santo Amaro
R$ 139.900;Equinox premier 2.0 turbo;11.000;km;Gasolina;São Paulo, Casa Verde
R$ 10.900;PEUGEOT 106 com Ar Condicionado;118;km;Gasolina;Santana de Parnaíba, Tamboré
R$ 7.000;Fusca vendo ou troco;53.889;km;Gasolina;São Paulo, Jardim das Flores
R$ 43.000;UP 170 TSI 2019 Impecável Legalizado;27.900;km;Flex;São Bernardo do Campo, Assunção
R$ 23.900;Renault Clio Expression ano 2016;74.500;km;Flex;São Paulo, Perdizes
R$ 13.900;Chevrolet Astra 2.0 4P;170.000;km;Gasolina;Osasco, Centro
R$ 29.000;Etios sedan 1.5 sx ano 2013;78;km;Flex;São Paulo, Vila Nova Parada
R$ 47.799;Hyundai HB20S  1.6 Comfort Plus FLEX MANUAL;37.000;km;Flex;Osasco, km 18
R$ 23.900;C4 Picasso Glx Ano 2011!!!! LINDA!!!!!;96.000;km;Gasolina;São Paulo, Tucuruvi
R$ 29.800;Pajero TR4 4x4 Flex 2005 Automática Impecável !!!!!;190.000;km;Flex;São Paulo, Vila Regente Feijó
R$ 26.990;Fiat Punto Essence 1.6 16V Flex Manual Ano 2012 ( Rodas de liga, Volante Multifuncional );85.500;km;Flex;São Paulo, Parque Monteiro Soares
R$ 31.900;SPIN 2013/2013 1.8 LT 8V FLEX 4P AUTOMÁTICO;89.000;km;Flex;São Paulo, Moinho Velho
R$ 24.990;Classic 2014;58;km;Flex;Guarulhos, Jardim Barbosa
R$ 39.500;Venda Veículo;40.458;km;Flex;Santo André, Campestre
R$ 24.900;Palio Weekend 1.8 Trekking 2010;147.000;km;Flex;Carapicuíba, Vila Municipal
R$ 21.900;Siena fire 1.0 completo;121.000;km;Flex;São Paulo, Vila Maria
R$ 12.900;Renault Logan (Financia sem entrada);80.000;km;Flex;São Bernardo do Campo, Centro
R$ 44.899;ETIOS 2017/2018 1.5 XS 16V FLEX 4P AUTOMÁTICO;111.381;km;Flex;São Bernardo do Campo, Taboão
